Rio,Punto_Monitoreo,N_Registros,Año_Min,Año_Max,pH Campo | media,pH Campo | min,pH Campo | max,pH Campo | p90,Temperatura Agua (°C) | media,Temperatura Agua (°C) | min,Temperatura Agua (°C) | max,Temperatura Agua (°C) | p90,Turbiedad (UNT) | media,Turbiedad (UNT) | min,Turbiedad (UNT) | max,Turbiedad (UNT) | p90,Sólidos Suspendidos Totales (mg/l) | media,Sólidos Suspendidos Totales (mg/l) | min,Sólidos Suspendidos Totales (mg/l) | max,Sólidos Suspendidos Totales (mg/l) | p90,DBO (mg O2/l) | media,DBO (mg O2/l) | min,DBO (mg O2/l) | max,DBO (mg O2/l) | p90,DQO (mg O2/l) | media,DQO (mg O2/l) | min,DQO (mg O2/l) | max,DQO (mg O2/l) | p90,Oxígeno Disuelto (mg O2/l) | media,Oxígeno Disuelto (mg O2/l) | min,Oxígeno Disuelto (mg O2/l) | max,Oxígeno Disuelto (mg O2/l) | p90,Nitrógeno Total (mg N/l) | media,Nitrógeno Total (mg N/l) | min,Nitrógeno Total (mg N/l) | max,Nitrógeno Total (mg N/l) | p90,Fósforo Total (mg P/l) | media,Fósforo Total (mg P/l) | min,Fósforo Total (mg P/l) | max,Fósforo Total (mg P/l) | p90,Coliformes Fecales (NMP/100ml) | media,Coliformes Fecales (NMP/100ml) | min,Coliformes Fecales (NMP/100ml) | max,Coliformes Fecales (NMP/100ml) | p90
Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,45,2010,2025,7.6649,6.84,8.25,8.062,18.3136,16.0,23.5,21.24,13.4643,1.6,121.0,23.7,32.3642,0.0,282.0,66.24,3.2756,1.0,19.3,6.3,23.2289,20.0,73.4,34.44,6.8743,5.28,7.79,7.478,5.0,5.0,5.0,5.0,0.287,0.153,0.421,0.3942,,,,
Rio Risaralda,Río Risaralda - Las Palmeras,61,1999,2025,7.7793,6.91,8.48,8.214,22.2623,16.0,35.0,28.4,40.5653,0.29,610.0,66.4,306.3,2.1,7000.0,438.0,610.6843,1.0,8883.0,2348.6,1327.4808,20.0,12752.0,4859.9,7.91,7.78,8.02,8.002,,,,,,,,,,,,
Rio Risaralda,Río Risaralda - Puente Negro,50,2007,2025,7.6078,6.88,8.04,7.851,21.486,16.3,26.0,23.93,56.6818,1.2,887.0,172.5,117.3936,2.1,1409.0,301.2,2.0618,0.29,13.1,3.134,23.4469,5.0,91.1,31.8,7.7283,7.16,8.21,8.164,,,,,,,,,,,,
Rio Risaralda,Río Risaralda - Puente Umbría,65,1997,2025,7.6467,5.3,8.73,8.224,21.8667,13.0,40.8,25.42,12.8714,0.4,130.0,30.6,123.0462,3.7,1377.0,335.8,588.0524,1.0,22755.0,136.0,829.2353,16.1,27297.0,636.0,,,,,5.0,5.0,5.0,5.0,0.15,0.15,0.15,0.15,,,,
Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,16,2017,2025,7.9885,7.27,8.35,8.3,16.6,12.0,19.1,19.0,5.4363,0.35,65.0,2.7,22.84,11.6,180.0,11.7,1.2216,0.486,2.88,1.725,12.1188,11.0,18.7,14.55,7.7581,6.71,8.95,8.12,0.7582,0.602,1.18,0.9161,0.0881,0.0509,0.113,0.0959,1080.375,36.0,4600.0,3500.0
Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,16,2017,2025,7.9908,7.68,8.25,8.208,24.0813,18.0,27.6,27.15,131.0938,2.2,900.0,525.0,173.2333,11.6,1750.0,396.4,7.5931,1.73,63.6,6.18,28.2,11.0,120.0,70.0,6.0187,4.34,7.16,6.905,2.4638,1.23,3.42,3.133,0.2698,0.0946,0.435,0.41,37381.25,900.0,210000.0,78000.0
Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,16,2017,2025,8.0085,7.22,8.2,8.198,16.6125,12.0,19.0,19.0,6.0303,0.35,70.0,3.0,21.1333,11.6,154.0,11.88,1.2167,0.378,2.66,1.73,13.5106,9.07,36.9,16.9,7.6344,6.84,8.14,7.975,0.784,0.642,0.996,0.9071,0.0885,0.0509,0.119,0.0959,3771.875,90.0,24000.0,14300.0
Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,16,2017,2025,8.0538,7.28,8.33,8.306,19.9062,12.0,25.5,22.6,24.9219,1.0,290.0,39.85,19.3333,11.6,121.0,15.48,2.2769,1.24,5.86,4.285,13.2669,9.07,26.9,18.25,7.4337,6.67,8.18,7.75,1.0855,0.709,2.84,1.608,0.1283,0.0509,0.343,0.2975,2598.125,90.0,9300.0,9300.0
Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,16,2017,2025,7.9275,7.28,8.23,8.135,21.9875,16.0,26.1,25.6,66.2344,1.85,650.0,157.5,89.72,11.6,1110.0,44.2,2.3256,1.18,5.22,4.34,14.075,10.8,36.1,18.65,7.2275,6.74,8.07,7.555,1.1658,0.628,2.57,1.765,0.1249,0.055,0.298,0.2245,4225.625,230.0,24000.0,9300.0
Rio Sabaletas,Río Sabaletas - Puente después caserío Los Medios,2,2017,2017,7.955,7.95,7.96,7.959,15.0,14.0,16.0,15.8,1.6,1.2,2.0,1.92,12.8,11.6,14.0,13.76,1.47,1.4,1.54,1.526,16.05,11.8,20.3,19.45,7.54,7.42,7.66,7.636,,,,,0.111,0.0509,0.171,0.159,260.0,90.0,430.0,396.0
Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),19,2016,2025,8.0113,7.27,8.5,8.464,19.8368,15.0,23.5,22.84,97.1211,1.0,600.0,324.0,108.2944,11.6,510.0,324.7,1.6561,0.652,3.13,2.554,15.4668,9.07,49.0,22.64,7.7474,6.6,8.4,8.156,0.9929,0.398,2.17,1.722,0.1057,0.0509,0.249,0.1936,1850.1579,3.0,9300.0,7860.0
Rio Tulua,Rio Tulua - Antes desembocadura a Río Cauca,6,2018,2024,7.804,7.62,8.01,8.01,24.4833,20.0,31.3,28.35,92.2,4.2,210.0,210.0,179.0,13.0,450.0,450.0,5.495,3.85,9.91,7.985,45.7167,11.0,136.0,91.0,5.7883,3.65,6.8,6.8,4.345,2.23,6.46,6.46,0.2903,0.0959,0.819,0.679,1110000.0,900000.0,1500000.0,1500000.0
Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,19,2016,2025,8.2573,7.56,9.16,8.804,23.8842,21.0,29.2,27.92,148.3255,0.385,900.0,384.0,182.2278,5.6,1390.0,413.5,4.5778,0.859,25.9,8.816,21.1421,11.0,54.0,38.68,7.3984,5.61,9.7,8.122,2.4263,0.463,10.8,4.096,0.1462,0.0521,0.711,0.2364,1708507.8947,150.0,11000000.0,9300000.0
Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,19,2016,2025,8.1647,7.39,8.73,8.444,22.8632,19.0,29.4,26.76,145.8842,1.4,1000.0,344.0,188.0389,11.6,1210.0,516.0,2.0128,0.703,8.11,2.698,16.9405,9.07,41.6,35.64,7.6858,7.02,8.23,8.104,1.0742,0.325,2.56,2.52,0.1113,0.05,0.354,0.1566,21529.4737,230.0,240000.0,28400.0
Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),19,2016,2025,8.1844,7.47,8.75,8.48,22.9421,19.0,28.7,27.6,142.3579,1.5,950.0,332.0,145.0412,11.6,814.0,360.0,5.9248,0.734,73.2,5.488,27.9895,10.2,200.0,45.42,7.4553,4.49,8.69,8.002,1.163,0.463,3.35,2.678,0.2108,0.0509,1.58,0.3062,1375364.2105,90.0,24000000.0,436000.0
Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),13,2016,2025,7.8792,7.42,8.19,8.166,24.8538,21.6,30.2,27.78,155.9238,2.7,971.0,555.0,106.4167,20.0,530.0,155.1,20.7,3.18,58.8,47.08,81.3077,11.0,318.0,193.0,4.3785,0.5,7.54,7.024,5.31,3.54,8.05,7.286,0.8027,0.0662,3.73,1.7616,2462825.3846,230.0,11000000.0,9660000.0
Rio Riofrio,Rio Valcanes - Antes desembocadura a Rio Riofrio,18,2016,2025,7.7906,6.86,8.35,8.144,21.3056,16.0,23.5,23.03,25.6444,1.9,300.0,25.6,29.5722,11.6,271.0,29.1,1.2358,0.838,1.8,1.613,12.7094,9.07,24.8,16.23,7.4111,6.85,7.86,7.666,0.6824,0.402,1.4,1.07,0.0812,0.0509,0.096,0.0959,8849.4118,230.0,43000.0,24000.0
